dgp,n,p,tune,rep,seed,train_R2,test_R2,train_MSE,test_MSE,overfit_ratio,overfit_gap,sigma_hat,lambda_hat,df_eff,wall_clock_s,n_warnings,n_errors
noise,500,10,none,6,53210006,0.00702988136201166,0.000294928821760632,0.911164210585003,1.13923070822319,1.25030230005606,0.00673495254025103,10,293.6043466,NA,0.0120000000000005,0,0
noise,500,10,none,7,53210007,0.0121486324090104,-0.0143097334439035,0.883445106338717,0.946339713257758,1.07119243342656,0.0264583658529139,10,181.4956534,NA,0.0130000000000052,0,0
noise,500,10,none,8,53210008,0.0139396463366483,-0.00937904079329943,1.04835762444558,1.08780544311835,1.03762820792536,0.0233186871299478,10,181.4956534,NA,0.01400000000001,0,0
noise,500,10,none,9,53210009,0.00649670827359927,0.000542678768183924,0.969519237132259,0.91062580577126,0.93925501516071,0.00595402950541535,10,293.6043466,NA,0.0130000000000052,0,0
noise,500,10,none,10,53210010,0.00659536353665968,-0.00242733983678534,0.973146343717185,1.00274841281914,1.03041892855384,0.00902270337344502,10,293.6043466,NA,0.0139999999999816,0,0
linear,500,10,autotune,1,13220001,0.804696120975993,0.781774462940509,1.07096124271881,1.08633986481299,1.01435964391684,0.0229216580354845,40,1.00959439446174,NA,0.360000000000014,0,0
linear,500,10,autotune,2,13220002,0.80045315906725,0.782868334318638,1.13083797615048,1.16366541081576,1.02902929982687,0.0175848247486117,40,0.756465494094054,NA,0.329000000000008,0,0
linear,500,10,autotune,3,13220003,0.815666585176267,0.770942285689856,0.958327234495956,1.24033217340729,1.29426789593396,0.0447242994864101,40,0.959690363382806,NA,0.363,0,0
linear,500,10,autotune,4,13220004,0.825882266014334,0.778115730301468,0.921810863931234,1.20644324287606,1.30877524889538,0.0477665357128659,40,1.0076750160405,NA,0.316000000000003,0,0
linear,500,10,autotune,5,13220005,0.822597847552466,0.801143227453819,0.908150345275885,1.05127279345404,1.15759774680775,0.0214546200986465,40,0.757651735139126,NA,0.356999999999999,0,0
linear,500,10,autotune,6,13220006,0.809103734805447,0.762966570615589,1.05155798684803,1.25943395950394,1.19768379419475,0.0461371641898582,40,1.00959439446174,NA,0.353000000000009,0,0
linear,500,10,autotune,7,13220007,0.798649900309412,0.794789429504919,1.06759172974331,1.19812072531518,1.12226489952601,0.00386047080449248,40,0.757651735139126,NA,0.322000000000003,0,0
linear,500,10,autotune,8,13220008,0.805223031022479,0.787833105073762,1.07272764661395,1.24131665548785,1.1571591907844,0.0173899259487169,40,1.0076750160405,NA,0.348000000000013,0,0
linear,500,10,autotune,9,13220009,0.83620292283724,0.778453165136954,0.853634477702662,1.1113229426585,1.30187213811858,0.0577497577002857,40,0.757651735139126,NA,0.328999999999979,0,0
linear,500,10,autotune,10,13220010,0.813837328326153,0.766517667512659,1.04024351785656,1.2378752001971,1.18998597823302,0.0473196608134934,40,0.601942632474975,NA,0.353000000000009,0,0
additive,500,10,autotune,1,23220001,0.816790406153065,0.727450194671181,0.419474451278413,0.662128964065947,1.57847268659154,0.0893402114818841,20,0.428002900580924,NA,0.347000000000008,0,0
additive,500,10,autotune,2,23220002,0.836883813192752,0.724484970563033,0.332352386668547,0.603338795246146,1.81535869591288,0.112398842629719,20,0.428002900580924,NA,0.323999999999984,0,0
additive,500,10,autotune,3,23220003,0.837891825571472,0.724693411487678,0.365549190791771,0.668878024480658,1.8297893726201,0.113198414083794,20,0.427936793639042,NA,0.387,0,0
additive,500,10,autotune,4,23220004,0.844682345286372,0.677184410756111,0.398430719864464,0.702675579415454,1.76360793578991,0.167497934530261,20,0.427936793639042,NA,0.350999999999999,0,0
additive,500,10,autotune,5,23220005,0.786829073983064,0.720114409995463,0.478757259677122,0.649085670776468,1.35577196513786,0.0667146639876007,40,0.363999424119304,NA,0.365000000000009,0,0
additive,500,10,autotune,6,23220006,0.843465595470617,0.71680765151208,0.354847298347644,0.589628647860273,1.66164051581031,0.126657943958537,20,0.427936793639042,NA,0.376999999999981,0,0
additive,500,10,autotune,7,23220007,0.782568208580298,0.704947244080585,0.445628493820795,0.618248179982639,1.38736231761531,0.0776209644997132,40,0.363999424119304,NA,0.319999999999993,0,0
additive,500,10,autotune,8,23220008,0.78924588172146,0.730271807059336,0.448122228852995,0.633669804334208,1.41405572751019,0.0589740746621241,40,0.322720955924607,NA,0.361000000000018,0,0
additive,500,10,autotune,9,23220009,0.847911044739582,0.749427140918364,0.351672602398165,0.597098758435661,1.69788250311187,0.0984839038212181,20,0.427936793639042,NA,0.349999999999994,0,0
additive,500,10,autotune,10,23220010,0.798706301260799,0.731096198983181,0.498117579854555,0.582172494610786,1.16874512796913,0.0676101022776183,40,0.358652119516328,NA,0.361999999999995,0,0
interaction,500,10,autotune,1,33220001,0.811070902554747,0.65803335922946,0.448223029791606,0.803164852059601,1.79188662490863,0.153037543325286,20,0.406594982298004,NA,0.329999999999984,0,0
interaction,500,10,autotune,2,33220002,0.800231388462355,0.662625902741253,0.492707318863557,0.788518276380782,1.60037865522177,0.137605485721102,20,0.406594982298004,NA,0.363,0,0
interaction,500,10,autotune,3,33220003,0.812131780062813,0.653185329916453,0.544725205307078,0.942702795424659,1.73060248771347,0.158946450146361,20,0.410696155923293,NA,0.358000000000004,0,0
interaction,500,10,autotune,4,33220004,0.813907162741502,0.649831952536412,0.56112429972999,0.874589256438447,1.55863728742329,0.16407521020509,20,0.410670905319131,NA,0.34899999999999,0,0
interaction,500,10,autotune,5,33220005,0.811044467116125,0.686561572075204,0.44872854650226,0.777727403739791,1.73318013708289,0.124482895040921,20,0.410670905319131,NA,0.329000000000008,0,0
interaction,500,10,autotune,6,33220006,0.823164035295815,0.651190556183329,0.475738099222413,0.75120747572655,1.57903576979516,0.171973479112486,20,0.406594982298004,NA,0.374000000000024,0,0
interaction,500,10,autotune,7,33220007,0.829283903671118,0.68705555948543,0.541955563481173,0.823944918807776,1.52031822224554,0.142228344185688,20,0.410696155923293,NA,0.334000000000003,0,0
