"dgp","n","rep","model","auc","logloss","acc","t_fit"
"twonorm",500,8,"ranger",0.996002906976744,0.295132321952247,0.96,0.048274040222168
"threenorm",500,8,"ares",0.903627311522048,0.417053794973549,0.793333333333333,0.0239975452423096
"threenorm",500,8,"earth",0.837837837837838,0.519461978004333,0.713333333333333,0.00793814659118652
"threenorm",500,8,"ranger",0.94701280227596,0.430823180743653,0.86,0.0604467391967773
"ringnorm",500,8,"ares",0.956977777777778,1.37187395496467,0.946666666666667,0.0298094749450684
"ringnorm",500,8,"earth",0.985066666666667,0.184565681377561,0.92,0.00891208648681641
"ringnorm",500,8,"ranger",0.997333333333333,0.256606621472262,0.986666666666667,0.0647733211517334
"waveform",500,8,"ares",0.905289905289905,0.468678794032805,0.84,0.0305507183074951
"waveform",500,8,"earth",0.911757911757912,0.355046264824789,0.84,0.00840163230895996
"waveform",500,8,"ranger",0.912912912912913,0.334789404227101,0.833333333333333,0.0513031482696533
"twonorm",1500,8,"ares",0.99639782285997,0.0972601317094073,0.962222222222222,0.0685560703277588
"twonorm",1500,8,"earth",0.980940128649184,0.183095914671196,0.935555555555556,0.0231542587280273
"twonorm",1500,8,"ranger",0.994794656110836,0.259737571265262,0.957777777777778,0.21015453338623
"threenorm",1500,8,"ares",0.940163173386539,0.313267680230654,0.871111111111111,0.0673542022705078
"threenorm",1500,8,"earth",0.851405543154027,0.48733911048116,0.764444444444444,0.0218992233276367
"threenorm",1500,8,"ranger",0.947808221884198,0.419386393141642,0.875555555555556,0.265183448791504
"ringnorm",1500,8,"ares",0.9775600505689,0.707458531580208,0.975555555555556,0.180812835693359
"ringnorm",1500,8,"earth",0.972226611883692,0.222161409038558,0.924444444444444,0.0210192203521729
"ringnorm",1500,8,"ranger",0.988187420986094,0.253464753458217,0.937777777777778,0.259179830551147
"waveform",1500,8,"ares",0.950109749405524,0.276296392083791,0.886666666666667,0.0780997276306152
"waveform",1500,8,"earth",0.951847448326322,0.256040432719679,0.884444444444444,0.0235357284545898
"waveform",1500,8,"ranger",0.962959575635632,0.269412760526651,0.888888888888889,0.214316844940186
"twonorm",500,9,"ares",0.98078633695072,0.54432798446427,0.906666666666667,0.0258188247680664
"twonorm",500,9,"earth",0.970467888276107,0.282475832960287,0.926666666666667,0.00835108757019043
"twonorm",500,9,"ranger",0.990037359900374,0.277582709697417,0.96,0.0487723350524902
"threenorm",500,9,"ares",0.861513687600644,0.577084698051758,0.806666666666667,0.0248117446899414
"threenorm",500,9,"earth",0.751655036679191,0.703680281529474,0.68,0.00791239738464355
"threenorm",500,9,"ranger",0.890857040615495,0.464394122832933,0.813333333333333,0.0578327178955078
"ringnorm",500,9,"ares",0.938571428571429,2.38618793290886,0.893333333333333,0.0294344425201416
"ringnorm",500,9,"earth",0.969285714285714,0.445083598607434,0.906666666666667,0.0131783485412598
"ringnorm",500,9,"ranger",0.965357142857143,0.339002654932337,0.88,0.057567834854126
"waveform",500,9,"ares",0.951662879570337,0.319163397536823,0.873333333333333,0.0312075614929199
"waveform",500,9,"earth",0.963437306341665,0.241515574833691,0.913333333333333,0.00823569297790527
"waveform",500,9,"ranger",0.970254079735592,0.262220191370284,0.94,0.0475080013275146
